,名称,住所,電話番号,緯度,経度,種別
788,郷土資料室,東京都西東京市西原町四丁目5番6号　,042-467-1183,35.73667,139.52918,
789,多摩六都科学館,東京都西東京市芝久保町五丁目10番64号,042-469-6100,35.734443,139.523546,
790,保谷こもれびホール,東京都西東京市中町一丁目5番1号,042-421-1919,35.741392,139.55824,
791,スポーツセンター,東京都西東京市中町1-5-1,042-425-0505,35.74228,139.558951,
792,南町スポーツ・文化交流センター,東京都西東京市南町5-6-5,042-451-0555,35.725602,139.537498,
793,総合体育館,東京都西東京市向台町5-4-20,042-467-3411,35.72003,139.529959,
794,西東京市中央図書館,東京都西東京市南町五丁目6番11号,042-465-0823,35.726013,139.537715,
795,西東京市ひばりが丘図書館,東京都西東京市ひばりが丘1-2-1,042-424-0264,35.751952,139.54371,
1058,清洲橋,東京都江東区清澄1〜中央区日本橋中洲　　　　　　 ,(03)3542-3726,35.68246,139.791776,国指定重要文化財
1059,石造燈籠　昭和２年在銘　一対,東京都江東区清澄2-12-12　　　　　　　　　　　　　　　,(03)3641-8059,35.68291,139.796847,江東区登録文化財
1060,石造燈籠　林忠旭奉納寛永寺旧蔵,東京都江東区清澄3-4-23　　　　　　　　　　　　　　,,35.681383,139.797588,江東区登録文化財
1061,新大橋親柱,東京都江東区新大橋1-2　新大橋東詰公園 　　　　　,(03)3542-3726,35.687659,139.793454,江東区登録文化財
1062,コンクリート造鳥居　昭和11年在銘,東京都江東区新大橋3-1-4　　　　　　　　　　　　　　　 ,,35.686457,139.795331,江東区登録文化財
1063,石造燈籠　昭和９年在銘　一対,東京都江東区森下1-3-17　　　　　　　　　　　　　　,(03)3631-5548,	35.686682,139.797309,江東区登録文化財
1064,石造燈籠　初代中村歌右衛門奉納,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1065,石造燈籠　伊達宗村奉納　一対,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1066,石造燈籠　初代坂東彦三郎・津川哥門他奉納　一対,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1067,石造宝篋印塔(残欠)　明暦３年在銘,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1068,石造燈籠　服部正保他奉納　一対,東京都江東区三好1-6-3　　　　　　　　　　　　　　　　　,(03)3641-5848,	35.680705,139.800321,江東区登録文化財
1069,石造五輪塔（榊原式部大輔政倫墓）　天和３年在銘,東京都江東区三好1-6-3　　　　　　　　　　　　　　　　　,(03)3641-5848,	35.680705,139.800321,江東区登録文化財
1070,石造燈籠　享保10年在銘,東京都江東区三好1-7-7　　　　　　　　　　　　,,35.680547,139.799813,江東区登録文化財
1071,石造燈籠　明和３年在銘,東京都江東区三好1-7-7　　　　　　　　　,,35.680547,139.799813,江東区登録文化財
1072,石造五輪塔　貞享３年在銘,東京都江東区三好2-7-5　　　　　　　　　　　　　　　,(03)3642-3437 ,	35.679983,139.803537,江東区登録文化財
1073,石造宝篋印塔（阿茶局墓塔)　寛永14年在銘,東京都江東区三好2-17-14　　　　　　　　　　 ,(03)3641-0591,35.680513,139.803357,江東区指定文化財
1074,石造宝篋印塔　寛永14年在銘,東京都江東区三好2-17-14　　　　　　　　　　　　　　　 ,(03)3641-0591,35.680513,139.803357,江東区登録文化財
1075,石造五輪塔　寛文13年在銘,東京都江東区三好3-7-5　　　　　　　　　　　　　　　　,,35.680536,139.804301,江東区登録文化財
1076,石造燈籠　一対,東京都江東区白河1-3-32　　　　　　　　　　　　　　　　,(03)3641-1523 ,35.680812,139.799953,江東区登録文化財
1077,石造燈籠　天明６年在銘　一対,東京都江東区白河1-3-32　　　　　　　,(03)3641-1523 ,35.680812,139.799953,江東区登録文化財
1078,石造燈籠　宝永４年在銘,東京都江東区白河1-3-32　　　　　　　　　　　　　　　　,(03)3641-1523 ,35.680812,139.799953,江東区登録文化財
1079,永代橋,東京都江東区永代1〜中央区新川1,(03)3542-3726,35.676232,139.787657,国指定重要文化財
1080,石造鳥居　昭和５年在銘,東京都江東区永代2-37　　　　　　　　　　　　　　　　　,,35.674928,139.792401,江東区登録文化財
1081,石造五輪塔,東京都江東区深川2-22-11　　　　,(03)3641-6832,35.676873,139.799094,江東区登録文化財
1082,石造燈籠　寛文８年在銘,東京都江東区深川2-22-11　　　　　　　　　　　　　　　,(03)3641-6832,35.676873,139.799094,江東区登録文化財
1083,石造燈籠　浅野長矩奉納寛永寺旧蔵,東京都江東区深川2　　　　　　　　　　　　　　　　　　　　,,,,江東区登録文化財
1084,旧東京市深川食堂,東京都江東区門前仲町1-19-15　　　　　　　　　　　　,(03)3647-9819,35.674049,139.794931,国登録文化財
1085,石造燈明台　明治31年在銘,東京都江東区富岡1-14　　　　　　　　　　　　　　 　　　,(03)3647-9819,35.672811,139.79774,江東区指定文化財
1086,石造燈籠　明治15年在銘　一対,東京都江東区富岡1-17-13　　　　　　　　　　　　,(03)3641-8288,	35.672853,139.798368,江東区登録文化財
1087,石造玉垣　明治22年在銘,東京都江東区富岡1-17-13　　　　　　　　　　　　　　　,(03)3641-8288,35.672853,139.798368,江東区登録文化財
1088,深川不動堂旧本堂,東京都江東区富岡1-17-13　　　　　　　　　　　　　　　,(03)3641-8288,35.672853,139.798368,江東区指定文化財
1089,和倉橋親柱　２基,東京都江東区深川2-1、富岡1-17　　　　　　 ,(03)3647-9819,35.673263,139.799212,江東区指定文化財
1090,旧弾正橋（八幡橋）,東京都江東区富岡1-19〜2-7　　　　　　　　　　　　　 ,(03)3647-9819,35.671881,139.800612,江東区指定文化財
1091,石造燈籠　伊奈忠宥奉納　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1092,石造燈籠　買手中奉納,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1093,石造燈籠　享保16年在銘　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1094,石造燈籠　丸屋七右衛門奉納　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1095,石造燈籠　栖原三九郎奉納　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1096,石造燈籠　元治元年在銘　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1097,石造鳥居　文化２年在銘,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1098,石造鳥居　東京肥料商有志奉納,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1099,石造燈籠　深川浜常燈講奉納　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1100,石造鳥居　昭和９年在銘,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1101,石造鳥居　昭和９年在銘,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1102,石造鳥居　昭和12年在銘,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1103,石造燈籠　市倉秀楽三代目光雄奉納,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1104,石造燈籠　小川治兵衛奉納　一対,東京都江東区富岡1-20-3　　　　　　　　　　　　　　　　,(03)3642-1315,35.671958,139.799609,江東区登録文化財
1105,石造燈籠　栖原三九郎・小川市兵衛奉納　一対,東京都江東区牡丹3-12-2　　　　　　　　　　　　　　　　,,35.669482,139.797678,江東区登録文化財
1106,石造鳥居　昭和12年在銘,東京都江東区牡丹3-12-2　　　　　　　　　　　　　　　　,,35.669482,139.797678,江東区登録文化財
1107,石造燈籠　板倉重形奉納寛永寺旧蔵,東京都江東区新木場2-1-8,(03)3521-7111,35.640071,139.822574,江東区登録文化財
1108,明治丸,東京都江東区越中島2-1　　　　　　     　　　,(03)5245-7300,35.667878,139.791799,国指定重要文化財
1109,石造六角宝塔　貞享２年在銘,東京都江東区千田12-8　　　　　　　　　　　　　　　　　　,(03)3640-0375,35.682329,139.815016,江東区登録文化財
1110,石造燈籠　御作事方・御勘定方・御材木方奉納　一対,東京都江東区猿江2-2-17　猿江神社内　　　　　        　　,(03)3631-2516,35.685871,139.814147,江東区登録文化財
1111,石造燈籠　昭和６年在銘　一対,東京都江東区猿江2-2-17,(03)3631-2516,35.685871,139.814147,江東区登録文化財
1112,石造燈籠　猿江裏町南部町会奉納　一対,東京都江東区猿江2-2-17,(03)3631-2516,35.685871,139.814147,江東区登録文化財
1113,旧渋沢家住宅（部材）,東京都江東区木場2-15-3　　　　　　　　　　　　　　　,,35.672006,139.802997,江東区指定文化財
1114,石造鳥居　下村店中奉納,東京都江東区木場2-18-12　　　　　　　　　　　　　　　,,35.669951,139.804783,江東区登録文化財
1115,石造燈籠　寛政６年在銘　一対,東京都江東区木場2-18-12　　　　　　　　　　　　　　　,,35.669951,139.804783,江東区登録文化財
1116,石造燈籠　燈籠講奉納　一対,東京都江東区木場2-18-12　　　　　　　　　　　　　　　,,35.669951,139.804783,江東区登録文化財
1117,石造燈籠　明治28年在銘　一対,東京都江東区木場2-18-12　　　　　　　　　　　　　　　,,35.669951,139.804783,江東区登録文化財
1118,繁栄稲荷神社本殿,東京都江東区木場2-18-12　　　　　　　　　　　　　　　,,35.669951,139.804783,国指定重要文化財
1119,石造燈籠　大久保教重奉納寛永寺旧蔵,東京都江東区東陽4-11-38　　　　　　　　　　　　　　　,,35.673634,139.816582,江東区登録文化財
1120,石造燈籠　西郷延員奉納寛永寺旧蔵,東京都江東区東陽5-30-13　　　　　　　　　　　　　　　,(03)3649-8111 ,35.673575,139.815765,江東区登録文化財
1121,石造燈籠　塩原太助奉納,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1122,石造燈籠　大正２年在銘　一対,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1123,石造鳥居　弘化２年在銘,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1124,石造燈籠　明治35年在銘　一対,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1125,石造燈籠　大正５年在銘,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1126,石造燈籠　明治35年在銘　一対,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1127,石造燈籠　明治35年在銘,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1128,石造燈籠　明治40年在銘　一対,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1129,石造燈籠　明治35年在銘　一対,東京都江東区亀戸3-6-1　　　　　　　　　　　　　　　　 ,(03)3681-0010,35.702666,139.820838,江東区登録文化財
1130,石造燈籠　明治32年在銘　一対,東京都江東区亀戸3-34-2　　　　　　　　　　　　　　　　,(03)3681-2620,35.705622,139.819415,江東区登録文化財
1131,石造鳥居　大正11年在銘,東京都江東区亀戸3-38-35,(03)3681-3042,35.706504,139.820913,江東区登録文化財
1132,石造燈籠　大正６年在銘　一対,東京都江東区亀戸3-38-35,(03)3681-3042,35.706504,139.820913,江東区登録文化財
1133,石造燈籠　明治33年在銘,東京都江東区亀戸3-38-35,(03)3681-3042,35.706504,139.820913,江東区登録文化財
1134,石造鳥居　明治45年在銘,東京都江東区亀戸3-38-35,(03)3681-3042,35.706504,139.820913,江東区登録文化財
1135,石造燈籠　昭和８年在銘　一対,東京都江東区亀戸3-38-35,(03)3681-3042,35.706504,139.820913,江東区登録文化財
1136,石造鳥居　昭和５年在銘,東京都江東区亀戸3-38-35,(03)3681-3042,35.706504,139.820913,江東区登録文化財
1137,石造燈籠　溝口宣広奉納寛永寺旧蔵,東京都江東区亀戸3-42-1,,35.704178,139.822582,江東区登録文化財
1138,石造宝篋印塔　寛永５年在銘,東京都江東区亀戸3-42-1,,35.704178,139.822582,江東区登録文化財
1139,石造五輪塔　寛永２年在銘,東京都江東区亀戸3-43-3,,35.703512,139.822503,江東区登録文化財
1140,石造宝篋印塔　天明８年在銘,東京都江東区亀戸3-43-3,,35.703512,139.822503,江東区登録文化財
1141,石造宝篋印塔　寛永５年在銘,東京都江東区亀戸3-56-14,(03)3644-3043,35.704851,139.825385,江東区登録文化財
1142,石造五輪塔　寛永14年在銘,東京都江東区亀戸3-56-14,(03)3644-3043,35.704851,139.825385,江東区登録文化財
1143,石造燈籠　明治28年在銘　一対,東京都江東区亀戸3-57-22,(03)3684-2813,35.704295,139.825214,江東区登録文化財
1144,石造燈籠　寛政６年在銘,東京都江東区亀戸3-57-22,(03)3684-2813,35.704295,139.825214,江東区登録文化財
1145,石造燈籠　金森頼時奉納寛永寺旧蔵,東京都江東区亀戸4-24-1,(03)3681-8213,35.703227,139.826243,江東区登録文化財
1146,石造五輪塔　天保10年在銘,東京都江東区亀戸4-24-1,(03)3681-8213,35.703227,139.826243,江東区登録文化財
1147,石造宝篋印塔　弘法大師千五十年忌,東京都江東区亀戸4-24-1,(03)3681-8213,35.703227,139.826243,江東区登録文化財
1148,石造五輪塔　元禄13年在銘,東京都江東区亀戸4-24-1,(03)3681-8213,35.703227,139.826243,江東区登録文化財
1149,石造宝篋印塔　文化元年在銘,東京都江東区亀戸4-35-12,(03)3681-9757,35.702061,139.827409,江東区登録文化財
1150,石造燈籠　寛文13年在銘,東京都江東区亀戸4-48-3　　,(03)3681-7023,35.702669,139.830506,江東区登録文化財
1151,石造宝篋印塔　永享７年在銘,東京都江東区亀戸6-35-23,,35.694477,139.830385,江東区登録文化財
1152,石造燈籠　明暦２年在銘,東京都江東区亀戸6-35-23,,35.694477,139.830385,江東区登録文化財
1153,石造燈籠　文政11年在銘,東京都江東区亀戸6-35-23,,35.694477,139.830385,江東区登録文化財
1154,石造燈籠　二十六夜同行奉納　一対,東京都江東区亀戸9-15-7,(03)3682-1581,35.695771,139.844565,江東区登録文化財
1155,石造鳥居　大正７年在銘,東京都江東区亀戸9-15-7,(03)3682-1581,35.695771,139.844565,江東区登録文化財
1156,石造鳥居　大正７年在銘,東京都江東区亀戸9-15-7,(03)3682-1581,35.695771,139.844565,江東区登録文化財
1157,石造燈籠　大正８年在銘　一対,東京都江東区亀戸9-15-7,(03)3682-1581,35.695771,139.844565,江東区登録文化財
1158,浅間神社社殿,東京都江東区亀戸9-15-7,(03)3682-1581,35.695771,139.844565,江東区登録文化財
1159,石造鳥居　六之橋若者中奉納,東京都江東区亀戸9-15-7,(03)3682-1581,35.695771,139.844565,江東区登録文化財
1160,石造燈籠　井伊直武奉納寛永寺旧蔵,東京都江東区大島3-1-8,,35.689608,139.826664,江東区登録文化財
1161,石造鳥居　明治40年在銘,東京都江東区大島3-31-15,,35.689646,139.831112,江東区登録文化財
1162,石造鳥居　明治21年在銘,東京都江東区大島4-19　,,35.686609,139.832373,江東区登録文化財
1163,石造鳥居　明治25年在銘,東京都江東区大島5-39-26,(03)3684-4749,35.686392,139.836618,江東区登録文化財
1164,石造燈籠　大正８年在銘　一対,東京都江東区大島5-39-26,(03)3684-4749,35.686392,139.836618,江東区登録文化財
1165,石造鳥居　明治41年在銘,東京都江東区大島7-24-1,(03)3681-7058,35.690871,139.840979,江東区登録文化財
1166,石造鳥居　明治41年在銘,東京都江東区大島7-24-1,(03)3681-7058,35.690871,139.840979,江東区登録文化財
1167,石造鳥居　大正４年在銘,東京都江東区大島7-24-1,(03)3681-7058,35.690871,139.840979,江東区登録文化財
1168,石造燈籠　昭和12年在銘　一対,東京都江東区大島7-24-1,(03)3681-7058,35.690871,139.840979,江東区登録文化財
1169,石造燈籠　明治39年在銘　一対,東京都江東区北砂2-1-37　　　　　　,(03)3644-1445,35.677564,139.826635,江東区登録文化財
1170,石造鳥居　昭和３年在銘,東京都江東区北砂2-1-37　　　　　　,(03)3644-1445,35.677564,139.826635,江東区登録文化財
1171,石造鳥居　明治14年在銘,東京都江東区北砂3-21-11,,35.681664,139.830605,江東区登録文化財
1172,石造燈籠　本庄資承奉納寛永寺旧蔵,東京都江東区北砂4-22-6　,(03)3644-6974,35.679198,139.831908,江東区登録文化財
1173,石造燈籠　仙石久道奉納寛永寺旧蔵,東京都江東区北砂4-22-6　,(03)3644-6974,35.679198,139.831908,江東区登録文化財
1174,石造宝篋印塔　元文４年在銘,東京都江東区北砂4-22-6　,(03)3644-6974,35.679198,139.831908,江東区登録文化財
1175,石造燈籠　明治41年在銘　一対,東京都江東区北砂6-12　　　,,35.683567,139.836259,江東区登録文化財
1176,石造鳥居　明治14年在銘,東京都江東区東砂2-3-2,,35.683519,35.683519,江東区登録文化財
1177,石造燈籠　昭和4年在銘　一対,東京都江東区東砂3-17-17,,35.681494,139.841778,江東区登録文化財
1178,旧大石家住宅,東京都江東区南砂5-24地先　仙台堀川公園内,(03)3647-9819,35.674424,139.835955,江東区指定文化財
1179,石造燈籠　堀田正順奉納　一対,東京都江東区南砂7-14-18,(03)3647-9472,139.837599,139.837599,江東区登録文化財
1180,石造鳥居　万延２年在銘,東京都江東区南砂7-14-18,(03)3647-9472,139.837599,139.837599,江東区登録文化財
1181,石造燈籠　明治34年在銘　一対,東京都江東区南砂7-14-18,(03)3647-9472,139.837599,139.837599,江東区登録文化財
1182,石造燈籠　昭和13年在銘　一対,東京都江東区南砂7-14-18,(03)3647-9472,139.837599,139.837599,江東区登録文化財
1183,石造燈籠　昭和17年在銘　一対,東京都江東区南砂7-14-18,(03)3647-9472,139.837599,139.837599,江東区登録文化財
1184,絹本着色釈迦十六善神像,東京都江東区森下2-22-9　,(03)3631-9063,35.688665,139.798816,江東区指定文化財
1185,絹本墨画淡彩虎十二態図　岸駒筆　4曲1隻・6曲1隻・軸2幅　附　木箱1合,東京都江東区森下2-22-9,(03)3631-9063,35.688665,139.798816,江東区登録文化財
1186,紙本墨画大黒天像,東京都江東区平野1-13-6,(03)3641-0491,35.678578,139.800937,江東区登録文化財
1187,絹本着色出山釈迦図　附下絵1幅,東京都江東区平野1-14-6,,35.679318,139.799732,江東区登録文化財
1188,絹本着色阿弥陀三尊来迎図,東京都江東区三好3-7-5,,35.680536,139.804301,江東区登録文化財
1189,紙本着色仏涅槃図,東京都江東区三好3-7-5,,35.680536,139.804301,江東区登録文化財
1190,紙本着色雄誉霊巖上人像,東京都江東区白河1-1-8,,35.681011,139.799252,江東区指定文化財
1191,絹本着色当麻曼荼羅図,東京都江東区深川2-16-7,(03)3641-2566,35.675974,139.796779,江東区登録文化財
1192,絹本着色毘沙門天像　附木箱1合,東京都江東区深川2-19-13,,35.677014,139.797507,江東区指定文化財
1193,絹本着色不動明王二童子像,東京都江東区深川2-19-13,,35.677014,139.797507,江東区登録文化財
1194,紙本墨画達磨像,東京都江東区深川2-22-11,(03)3641-6832,35.676873,139.799094,江東区登録文化財
1195,絹本着色地蔵菩薩半跏像,東京都江東区富岡1-15-1　　,,35.672013,139.798061,江東区指定文化財
1196,絹本着色宝冠阿弥陀如来坐像,東京都江東区富岡1-15-1　　,,35.672013,139.798061,江東区登録文化財
1197,絹本着色束帯天神像,東京都江東区亀戸3-6-1,(03)3681-0010,35.702666,139.820838,東京都指定文化財
1198,絹本着色釈迦十六善神図　狩野永鐡筆　附桐箱1合,東京都江東区亀戸3-10-2,,35.703158,139.819634,江東区登録文化財
1199,紙本淡彩道祖神祭図　歌川広重筆,東京都江東区亀戸3-57-22,(03)3684-2813,35.704295,139.825214,江東区指定文化財
1200,三十六歌仙図屏風,東京都江東区亀戸3,,,,江東区登録文化財
1201,紙本墨画竹図　佐竹義和筆,東京都江東区亀戸3,,,,江東区登録文化財
1202,絹本着色親鸞上人坐像,東京都江東区亀戸5-31-8,,35.698503,139.829894,江東区登録文化財
1203,紙本着色阿弥陀二十五菩薩来迎図　元禄8年裏貼書　附明和5年得誉祐全極状1通,東京都江東区亀戸9,,,,江東区指定文化財
1204,紙本版刷着色阿弥陀二十五菩薩来迎図,東京都江東区亀戸9,,,,江東区登録文化財
1205,紙本墨画西誉蓮入像,東京都江東区北砂4-22-6,(03)3644-6974,35.679198,139.831908,江東区登録文化財
1206,木造阿弥陀如来坐像,東京都江東区清澄3-4-11,,35.681738,139.798363,江東区登録文化財
1207,木造阿弥陀三尊像,東京都江東区清澄3-4-22,,35.681311,139.798016,江東区登録文化財
1208,石造迦楼羅立像,東京都江東区清澄3-4-23,,35.681383,139.797588,江東区登録文化財
1209,木造阿弥陀如来立像,東京都江東区清澄3-4-23,,35.681383,139.797588,江東区登録文化財
1210,石造神狐像　一対,東京都江東区新大橋3-1-4,,35.686457,139.795331,江東区登録文化財
1211,木造神像　3躯,東京都江東区森下1-3-17,(03)3631-5548,35.686682,139.797309,江東区登録文化財
1212,木造日蓮上人坐像,東京都江東区平野1-13-6,(03)3641-0491,35.678578,139.800937,江東区登録文化財
1213,木造日蓮上人坐像,東京都江東区平野1-14-7,,35.679086,139.800076,江東区登録文化財
1214,木造日蓮上人坐像,東京都江東区平野1-14-10,(03)3641-7100,35.679017,139.800243,江東区登録文化財
1215,木造日蓮上人坐像,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1216,木造六老僧像　6躯,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1217,木造日朝上人坐像,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1218,木造鬼子母神立像,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1219,木造三宝本尊像,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1220,木造四菩薩像　4躯,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1221,木造四天王像　2躯,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1222,木造文殊・普賢菩薩坐像　2躯,東京都江東区平野2-4-25,(03)3641-3390,35.678433,139.801951,江東区登録文化財
1223,木造阿弥陀如来坐像,東京都江東区三好1-2-8,,35.679741,139.800038,江東区登録文化財
1224,木造阿弥陀如来立像,東京都江東区三好1-2-8,,35.679741,139.800038,江東区登録文化財
1225,木造三宝本尊像,東京都江東区三好1-2-11,(03)3641-9491,35.679497,139.799996,江東区登録文化財
1226,木造阿弥陀如来坐像,東京都江東区三好1-3-3,,35.679714,139.800404,江東区登録文化財
1227,木造三宝本尊像,東京都江東区三好1-3-18,,35.679236,139.800489,江東区登録文化財
1228,木造日蓮上人坐像,東京都江東区三好1-3-18,,35.679236,139.800489,江東区登録文化財
1229,木造日蓮上人坐像,東京都江東区三好1-3-18,,35.679236,139.800489,江東区登録文化財
1230,厨子入木造鬼子母神立像,東京都江東区三好1-3-18,,35.679236,139.800489,江東区登録文化財
1231,厨子入木造日蓮上人坐像,東京都江東区三好1-3-18,,35.679236,139.800489,江東区登録文化財
1232,木造勢至菩薩坐像,東京都江東区三好1-4-5,,35.679475,139.800796,江東区指定文化財
1233,木造阿弥陀三尊像,東京都江東区三好1-4-5,,35.679475,139.800796,江東区登録文化財
1234,木造阿弥陀如来立像,東京都江東区三好1-4-14,,35.679886,139.800985,江東区登録文化財
1235,木造阿弥陀如来坐像,東京都江東区三好1-4-14,,35.679886,139.800985,江東区登録文化財
1236,木造地蔵菩薩立像,東京都江東区三好1-4-14,,35.679886,139.800985,江東区登録文化財
1237,厨子入木造阿弥陀三尊像　附厨子入位碑,東京都江東区三好1-5-12,,35.680431,139.801021,江東区登録文化財
1238,木造不動明王立像,東京都江東区三好1-6-3　 ,(03)3641-5848,35.680705,139.800321,江東区登録文化財
1239,木造阿弥陀如来立像,東京都江東区三好1-6-3　 ,(03)3641-5848,35.680705,139.800321,江東区指定文化財
1240,木造伝閻魔倚像,東京都江東区三好1-7-7,,35.680547,139.799813,江東区登録文化財
1241,木造菩薩立像,東京都江東区三好1-7-7,,35.680547,139.799813,江東区登録文化財
1242,木造阿弥陀如来立像,東京都江東区三好1-7-7,,35.680547,139.799813,江東区登録文化財
1243,厨子入木造薬師如来立像,東京都江東区三好1-7-7,,35.680547,139.799813,江東区登録文化財
1244,木造阿弥陀如来坐像,東京都江東区三好2-7-2,,35.679958,139.803315,江東区登録文化財
1245,木造阿弥陀如来坐像,東京都江東区三好2-10-4,,35.680109,139.801486,江東区登録文化財
1246,木造如来坐像,東京都江東区三好2-10-4,,35.680109,139.801486,江東区登録文化財
1247,木造阿弥陀如来立像,東京都江東区三好2-11-14,,35.680441,139.801365,江東区登録文化財
1248,厨子入木造菩薩立像,東京都江東区三好2-11-14,,35.680441,139.801365,江東区登録文化財
1249,厨子入木造観音菩薩立像,東京都江東区三好2-11-14,,35.680441,139.801365,江東区登録文化財
1250,木造阿弥陀如来坐像,東京都江東区三好2-16-7,,35.680844,139.802654,江東区登録文化財
1251,木造阿弥陀三尊像,東京都江東区三好2-17-13,,35.680964,139.803612,江東区登録文化財
1252,木造阿弥陀如来立像,東京都江東区三好2-17-14,(03)3641-0591,35.680513,139.803357,江東区登録文化財
1253,木造阿弥陀如来坐像,東京都江東区三好2-17-14,(03)3641-0591,35.680513,139.803357,江東区登録文化財
1254,木造阿弥陀三尊及び諸尊像,東京都江東区三好2-17-14,(03)3641-0591,35.680513,139.803357,江東区登録文化財
1255,木造阿弥陀三尊像,東京都江東区三好2-17-14,(03)3641-0591,35.680513,139.803357,江東区登録文化財
1256,銅造地蔵菩薩半跏像,東京都江東区三好2-17-14,(03)3641-0591,35.680513,139.803357,江東区登録文化財
1257,木造阿弥陀如来坐像,東京都江東区三好3-7-5,,35.680536,139.804301,江東区登録文化財
1258,木造阿弥陀如来立像,東京都江東区三好3-7-5,,35.680536,139.804301,江東区登録文化財
1259,銅造阿弥陀如来立像,東京都江東区白河1-1-8 ,,35.681011,139.799252,江東区登録文化財
1260,木造雄誉霊巖上人坐像,東京都江東区白河1-1-8 ,,35.681011,139.799252,江東区登録文化財
1261,銅造地蔵菩薩坐像（江戸六地蔵の１）,東京都江東区白河1-3-32 ,(03)3641-1523 ,35.680812,139.799953,東京都指定文化財
1262,木造阿弥陀如来坐像,東京都江東区白河1-3-32 ,(03)3641-1523 ,35.680812,139.799953,江東区登録文化財
1263,木造阿弥陀如来坐像,東京都江東区永代1-8-8,(03)3641-1842,35.674289,139.789584,江東区登録文化財
1264,木造阿弥陀如来坐像,東京都江東区永代1-8-8,(03)3641-1842,35.674289,139.789584,江東区登録文化財
1265,石造釈迦如来坐像,東京都江東区永代1-8-8,(03)3641-1842,35.674289,139.789584,江東区登録文化財
1266,石造神狐象　昭和６年在銘　一対,東京都江東区永代2-37　,,35.674928,139.792401,江東区登録文化財
1267,木造阿弥陀三尊像,東京都江東区深川2-15-20 ,,35.675496,139.797474,江東区登録文化財
1268,石造地蔵菩薩立像（影窓院地蔵）,東京都江東区深川2-16-7 ,(03)3641-2566,35.675974,139.796779,江東区登録文化財
